รหัสกิจกรรม,เดือน,สรุปผล
P_3.1,มิ.ย.,ดำเนินการ ปรับปรุงฐานข้อมูลที่ใช้ในการวิ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.2,ม.ค.,ดำเนินการ ใช้งานระบบ GRC เพื่อสนับสนุนกา ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.2,ก.พ.,ดำเนินการ ใช้งานระบบ GRC เพื่อสนับสนุนกา ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.2,มี.ค.,ดำเนินการ ใช้งานระบบ GRC เพื่อสนับสนุนกา ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.2,เม.ย.,ดำเนินการ ใช้งานระบบ GRC เพื่อสนับสนุนกา ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.2,พ.ค.,ดำเนินการ ใช้งานระบบ GRC เพื่อสนับสนุนกา ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.2,มิ.ย.,ดำเนินการ ใช้งานระบบ GRC เพื่อสนับสนุนกา ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.3,ม.ค.,ดำเนินการ ทบทวนการทำ Value Creation และ  ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.3,ก.พ.,ดำเนินการ ทบทวนการทำ Value Creation และ  ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.3,มี.ค.,ดำเนินการ ทบทวนการทำ Value Creation และ  ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.3,เม.ย.,ดำเนินการ ทบทวนการทำ Value Creation และ  ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.3,พ.ค.,ดำเนินการ ทบทวนการทำ Value Creation และ  ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.3,มิ.ย.,ดำเนินการ ทบทวนการทำ Value Creation และ  ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.4,ม.ค.,ดำเนินการ กำหนดกระบวนการในการวิเคราะห์ถึ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.4,ก.พ.,ดำเนินการ กำหนดกระบวนการในการวิเคราะห์ถึ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.4,มี.ค.,ดำเนินการ กำหนดกระบวนการในการวิเคราะห์ถึ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.4,เม.ย.,ดำเนินการ กำหนดกระบวนการในการวิเคราะห์ถึ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.4,พ.ค.,ดำเนินการ กำหนดกระบวนการในการวิเคราะห์ถึ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.4,มิ.ย.,ดำเนินการ กำหนดกระบวนการในการวิเคราะห์ถึ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.5,ม.ค.,ดำเนินการ พัฒนา Portfolio View of Risk แ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.5,ก.พ.,ดำเนินการ พัฒนา Portfolio View of Risk แ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.5,มี.ค.,ดำเนินการ พัฒนา Portfolio View of Risk แ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.5,เม.ย.,ดำเนินการ พัฒนา Portfolio View of Risk แ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.5,พ.ค.,ดำเนินการ พัฒนา Portfolio View of Risk แ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.5,มิ.ย.,ดำเนินการ พัฒนา Portfolio View of Risk แ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
